ProfitLoss	Revenue	Assets	Equity	SuoShuZhengJianHuiHangYeDaLei
-6056995.72	795074.55	42264759.92	41328481.23	农产品与食品加工
				
1398043.85	43837080.78	161487964.4	155248855.4	
17789787.23	11094268.51	112015097.5	-687259796.4	商业
				
148416668.9	3085155540	2908597940	597042903.9	软件和信息技术服务业
9906376	333006086.7	792696769.4	327748615	制造业
-11942494.97	40678856.6	143374487.4	88761082.94	环保设备制造业
129923234.3	646026075.1	835095341.3	519820745.9	C27医药制造业
15691110.47	210437808	217837152.4	132809579.9	计算机、通信和其他电子设备制造业
-110269440	1715208605	3234164023	836779821.9	专用设备制造业
29321451	197511955	189870073	60069763	软件和信息技术服务业
12617017.8	148559826.9	215848342.3	99264875.58	制造业
-19929503.35	2320418.84	23186568.92	18968558.98	软件和信息技术服务行业
2008623.62	6929562.53	18138643.59	8740543.15	软件和信息技术服务业
76642167.64	310857279.1	727469719.8	530995694.4	医药行业
75013562.22	911464692.1	993962113.5	420593851.3	电气机械及器材制造业
9221641.12	90409775.22	122054243.4	84037838.92	计算机、通信和其他电子设备制造业
-9713735.6	18957391.47	109943082.2	79331981.09	其他制造业
62927243.64	364627299.6	477785939.8	373512897.8	I65-软件和信息技术服务业
16274430.68	51962935.51	90602970.65	85994624.96	计算机外围设备制造和通讯系统设备制造
4113317.61	83290612.9	114777906.2	32887898.03	I65 软件和信息技术服务业
1855841.74	75428656.57	154360904.5	126499251.7	非金属矿物制造
3175040.89	37351686.16	63361351.95	56811423.97	软件和信息技术服务业
14010744.25	259924231.8	359382920.5	177897929	建筑安装业
-10403108.47	129437500.7	69551138.12	43038794.87	农副食品加工业
6418909.96	12611778.09	87248307.65	83327642.27	通用设备制造业
8365939.79	147089860.8	231030004.2	76858975.54	计算机外围设备、软件开发、信息系统集成服务
-9118768.34	137608886.2	152737350	95024386.26	计算机及相关设备制造业
26026945.42	694684053.2	365065535.4	230866581.6	农副食品加工业
-4083870.57	19416212.27	164788810.5	147508277.7	房地产业
9303872.25	114168719.3	254995427.8	134088471.8	软件和信息技术服务业(行业代码：I65)
30311516.31	167711672.4	338553069	239554183.9	汽车制造业（国民经济行业分类注释(GB/T4754-2011)：366汽车零部件及配件制造）
1096595.01	51507162.49	84483458.79	78480588.38	G81 通信及相关设备制造业
28160654.37	76271254.25	136948628.5	107314839.5	铁路、船舶、航空航天和其他运输设备制造业
12315083.64	226342723.5	115415258.7	91932306.61	制造业
6250975.78	55180035.92	124671059.4	54242178.22	计算机应用服务业
-3530994.43	0	38335511.92	34509674.69	综合类博物馆服务
6695724.86	58593900.21	78739687.09	40927650.93	I65 软件和信息技术服务业
-10463358.84	656057.52	143836095	112959937.5	科学研究和技术服务业
1634744.3	33777948.13	90263463.9	85440156.62	软件和信息技术服务业
74245580.12	544921246.3	703904031.2	395952313.2	电气机械及器材制造业
35344635.73	179235634.4	411700090.2	389216306.8	计算机
-5489611.27	7288583.94	5703181.56	2834364.28	软件和信息服务业
835053.72	8492390.23	21863246.89	21615501.18	软件和信息技术服务业
347619.76	27696722.7	64853310.98	38359732.03	计算机、通信和其他电子设备制造业
7673173.04	20937962.19	80416913.22	55973850.68	软件和信息技术服务业
20466179.82	215429193.2	361477908.9	163828826.8	建筑材料
5223779.55	108912218.6	307758656.8	151470763.7	电气机械及器材制造业
4738851.37	93142193.54	98110508.44	68933153.73	制造业
7950915.55	194581495	178311896.6	98584582.56	软件和信息技术服务业
-699526.1	19914842.38	30722803.1	16369390.8	废弃资源综合利用业
-1462675.7	6092453.43	25524258.83	24389548.6	配电开关控制设备制造 行业代码：392
10163975.69	41603226.38	156862662.7	145569119.2	软件和信息技术服务业
7956699.66	40856250.5	67456574.24	43129385.4	信息传输、软件和信息技术服务
-14639172.33	212037055.4	273641825.9	153739015.5	软件和信息技术服务业
50841637.51	728170126.7	2051311149	867336075.2	计算机、通信和其他电子设备制造业
20109077.67	70217217.32	68232600.52	53985377.73	信息传输、软件和信息技术服务业
57716.04	12886058.62	11363753.08	10805699.6	信息传输、软件和信息技术服务业
6147531.48	71156216.52	180138330.1	62140765.17	生态保护与环境治理业(N77)
10652115.09	30960441.17	62084210.25	54902382.43	制造业
296101.79	15590566.94	35850144.7	27201486.63	金属制品业，行业代码C33
27049292.58	183178149	181776635.9	129581076.4	信息传输、软件和信息技术服务业
4546683.13	13850305.57	26288428.84	25914708	软件和信息技术服务业
-1272817.71	49775181.18	65428126.9	60057220.09	软件和信息技术服务业
32274507.94	175349854.7	276784272.4	243371285.6	专用设备制造业
18709090.96	139146432.1	346976208.6	269234149.2	计算机、通信和其他电子设备制造业
14113750.86	111109885.7	151881983.4	106666167.8	信息服务行业
1689478.91	31402832.67	35264828.88	27096876.41	I65软件和信息技术服务业
1613074.58	40129783.77	57868270.04	24272099.57	农副食品加工业
-4102537.32		4017304.25	3184806.23	通信设备制造业
2622377.3	24769001.89	43462100.83	29032554.99	软件和信息技术服务业
7350337.2	119859780.9	80713191.87	38938185.9	网上信息发布服务
4465863.61	86088439.32	60311990.34	45412286.05	电子信息技术
5864411.44	61314866.25	66961660.45	43283639.01	软件和信息技术服务业
23499272.01	301441731.7	379217455	198725295.2	专用设备制造业
7107864.29	113840785.6	117278749.3	63327529.44	电子信息技术－信息安全产品
3456100.13	52072627.12	39765080.35	36421249.81	网络视频服务业
3310781.68	23923506.45	27345085.07	17532607.05	医疗器械制造业
40624640.25	173928055.2	288685573.7	222527518.3	C39计算机、通信和其他电子设备制造业
-32603045.83	21290865.69	86840958.63	49608156.16	通信及相关设备制造业
2545612.19	107417032.2	113320347.9	52908327.89	计算机应用服务业
1853919.73	68383395.54	92569202.6	44945423.9	农、林、牧、渔业
-3052985.39	14239676.06	33466725.69	19904484.05	信息传输、软件和信息技术服务业
5342565.9	95430675.19	99344818.08	60885741.87	电信服务业
5193269.45	49277890.16	109910824.4	58038349.91	软件和信息技术服务业
3110630.89	91668947.33	71367831.54	49385014.38	信息传输、软件和信息技术服务业
2831.17	6148309.24	12064857.87	8213156.92	其他电器机械制造业
16809133.97		126012451	77714598.77	C34机械设备制造业
7535126.64	43108952.08	56948433.05	48223878.68	建材
1502416.98	19806900.21	23558825.28	21118523.99	C39 计算机、通信和其他电子设备制造业
7030465.01	82676597.03	156684213.3	96164700	采掘业-石油和天然气开采服务业
15984334.13	71253718.51	129427584.4	81232766	专用设备制造业
317604.85	7644637.85	24136735.66	23065878.52	M74 专业技术服务业
29532012.34	128401793.1	222793657.3	170691480.1	计算机相关设备制造业
5060353.34	67711593.01	135029415.5	82850603.19	通用设备制造业
1725698.08	42299200.89	64102690	52855847.73	计算机应用服务业
737166.96	59237232.57	43009631.64	12139086.87	计算机应用服务业
106832.6	13016963.71	22038169.2	13184219.02	计算机、通信和其他电子设备制造业专用设备制造。行业代码为 C39。
4559632.98	34111267.67	52691169.42	42733742.99	C13农副食品加工业
-2043114.72	7280206.97	19138971.62	13725913.21	通讯设备制造业
598704.75	21558968.24	18527554.68	11402842.49	互联网和相关服务
2407047.92	23822435.24	93485327.55	80825320.26	通用设备制造业
-1510094.02	4678172.4	19423795.76	8882500.85	专用设备制造行业
5083.37	5608362.73	8640179.44	5214110.45	信息技术业
362838.86	5561240.35	8079855.08	7190783.03	卫生和社会工作
749750.4	10037422.09	29480312.66	26902290.32	矿用电子设备
